,MAKE_MODEL,ENGINE_TYPE/BATTERY_TYPE,ENGINE_DISPLACEMENT(CC)/MOTOR_POWER(KW),TRANSMISSION_TYPE,FUEL_TYPE,MILEAGE/Range,TANK_CAPACITY/BATTERY_CAPACITY,FRONT_SUSPENSION,REAR_SUSPENSION,Entertainment_Details,VARIENTS
0,Maruti Suzuki Swift,Advanced K Series,1197 cc,Automatic,Petrol,22.56 kmpl,37 Litres,Mac Pherson Strut,Torsion Beam,"{'Touch Screen size': '7 Inch', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'Navigation System With Live Traffic Update(Through Smartplay Studio App),AHA Platform(Through Smartplay Studio App),Remote Control (through Smartplay Studio App)'}","['Swift LXI', 'Swift VXI', 'Swift VXI AMT', 'Swift ZXI', 'Swift VXI CNG']"
1,Maruti Suzuki Brezza,K15C,1462 cc,Automatic,Petrol,19.8 kmpl,48 Litres,Mac Pherson Strut & Coil,Torsion Beam & Coil Spring,"{'Touch Screen size': '9 Inch', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'SmartPlay Pro+, Premium Sound System ARKAMYS Surround Sense, Wireless Apple and android auto, Onboard Voice Assistant, Remote Control App for Infotainment'}","['Brezza Lxi', 'Brezza Lxi CNG', 'Brezza Vxi', 'Brezza Vxi CNG', 'Brezza Vxi AT']"
2,Maruti Suzuki FRONX,1.0L Turbo Boosterjet,998 cc,Automatic,Petrol,20.01 kmpl,37 Litres,MacPherson Strut,Torsion Beam,"{'Touch Screen size': '9 Inch', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'SmartPlay Pro Plus Touch Screen Audio, ARKAMYS Premium Sound System, Android Auto and Apple CarPlay (Wireless), Onboard Voice Assistant (Wake-up through (Hi Suzuki) with Barge-in feature), Multi Information Display (TFT Color)'}","['FRONX Sigma', 'FRONX Delta', 'FRONX Sigma CNG', 'FRONX Delta Plus', 'FRONX Delta AMT']"
3,Maruti Suzuki Ertiga,K15C Smart Hybrid,1462 cc,Automatic,Petrol,20.3 kmpl,45 Litres,Mac Pherson Strut & Coil Spring,Torsion Beam & Coil Spring,"{'Touch Screen size': '7 Inch', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'SmartPlay Pro Touch Screen Infotainment System, Premium Sound System, Wireless android auto & apple carplay'}","['Ertiga Lxi (O)', 'Ertiga VXi (O)', 'Ertiga VXi (O) CNG', 'Ertiga Zxi (O)', 'Ertiga VXI AT']"
4,Maruti Suzuki Baleno,1.2 L K Series Engine,1197 cc,Automatic,Petrol,22.94 kmpl,37 Litres,MacPherson Strut,Torsion Beam,"{'Touch Screen size': '9 Inch', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'SmartPlay Pro+, Wireless Android Auto & Apple CarPlay, Surround Sense powered by ARKAMYS'}","['Baleno Sigma', 'Baleno Delta', 'Baleno Delta AMT', 'Baleno Delta CNG', 'Baleno Zeta']"
5,Maruti Suzuki Dzire,K12M VVT I4,1197 cc,Automatic,Petrol,22.61 kmpl,37 Litres,Mac Pherson Strut,Torsion Beam,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'Smartplay Studio System with Navigation and Voice Command, AHA Platform (Through Smartplay Studio App), Audio Remote Control(Through Smartplay Studio app)'}","['Swift Dzire LXI', 'Swift Dzire VXI', 'Swift Dzire VXI AT', 'Swift Dzire ZXI', 'Swift Dzire VXI CNG']"
6,Maruti Suzuki Wagon R,K12N,1197 cc,Automatic,Petrol,N/A,N/A,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}","['Wagon R LXI', 'Wagon R VXI', 'Wagon R ZXI', 'Wagon R LXI CNG', 'Wagon R VXI AT']"
7,Maruti Suzuki Alto K10,K10C,998 cc,Manual,CNG,33.85 km/kg,55 Litres,Mac Pherson Strut with Coil Spring,Torsion Beam with Coil Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}","['Alto K10 STD', 'Alto K10 LXI', 'Alto K10 VXI', 'Alto K10 VXI Plus', 'Alto K10 VXI AT']"
8,Maruti Suzuki Alto,F8D,796 cc,Manual,CNG,31.59 km/kg,60 Litres,Mac Pherson Strut,3-Link Rigid Axle Suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}","['Alto 800 STD Opt', 'Alto 800 LXI Opt', 'Alto 800 VXI', 'Alto 800 VXI Plus', 'Alto 800 LXI Opt S-CNG']"
9,Maruti Suzuki Celerio,K10C,998 cc,Automatic,Petrol,26 kmpl,32 Litres,Mac Pherson Strut with Coil Spring,Torsion Beam with Coil Spring,"{'Touch Screen size': '7 Inch', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Smartplay Studio System With Smartphone Navigation And Voice Command(Android Auto And Apple Car Play Enabled'}","['Celerio LXI', 'Celerio VXI', 'Celerio ZXI', 'Celerio VXI AMT', 'Celerio ZXI Plus']"
